Country Code,Country Name,Region, Value 
NLD,Netherlands,Europe & Central Asia,10.2
NCL,New Caledonia,East Asia & Pacific,17
NZL,New Zealand,East Asia & Pacific,13.12
NIC,Nicaragua,Latin America & Caribbean,20.79
NER,Niger,Sub-Saharan Africa,49.66
NGA,Nigeria,Sub-Saharan Africa,40.05
NOR,Norway,Europe & Central Asia,11.6
OMN,Oman,Middle East & North Africa,20.42
PAK,Pakistan,South Asia,29.58
PLW,Palau,East Asia & Pacific,13.1
PAN,Panama,Latin America & Caribbean,19.68
PNG,Papua New Guinea,East Asia & Pacific,28.9
PRY,Paraguay,Latin America & Caribbean,21.59
PER,Peru,Latin America & Caribbean,20.2
PHL,Philippines,East Asia & Pacific,23.79
POL,Poland,Europe & Central Asia,9.6
PRT,Portugal,Europe & Central Asia,7.9
PRI,Puerto Rico,Latin America & Caribbean,10.8
QAT,Qatar,Middle East & North Africa,11.94
ROM,Romania,Europe & Central Asia,8.8
RUS,Russian Federation,Europe & Central Asia,13.2
RWA,Rwanda,Sub-Saharan Africa,32.69
WSM,Samoa,East Asia & Pacific,26.17
STP,Sao Tome and Principe,Sub-Saharan Africa,34.54
SAU,Saudi Arabia,Middle East & North Africa,20.58
SEN,Senegal,Sub-Saharan Africa,38.53
SRB,Serbia,Europe & Central Asia,9.2
SYC,Seychelles,Sub-Saharan Africa,18.6
SLE,Sierra Leone,Sub-Saharan Africa,36.73
SGP,Singapore,East Asia & Pacific,9.3
SVK,Slovak Republic,Europe & Central Asia,10.1
SVN,Slovenia,Europe & Central Asia,10.2
SLB,Solomon Islands,East Asia & Pacific,30.58
SOM,Somalia,Sub-Saharan Africa,43.89
ZAF,South Africa,Sub-Saharan Africa,20.85
SSD,South Sudan,Sub-Saharan Africa,37.13
ESP,Spain,Europe & Central Asia,9.1
LKA,Sri Lanka,South Asia,17.86
LCA,St. Lucia,Latin America & Caribbean,15.43
MAF,St. Martin (French part),Latin America & Caribbean,16
VCT,St. Vincent and the Grenadines,Latin America & Caribbean,16.31
SDN,Sudan,Sub-Saharan Africa,33.48
SUR,Suriname,Latin America & Caribbean,18.46
SWZ,Swaziland,Sub-Saharan Africa,30.09
SWE,Sweden,Europe & Central Asia,11.8
CHE,Switzerland,Europe & Central Asia,10.2
SYR,Syrian Arab Republic,Middle East & North Africa,24.04
TJK,Tajikistan,Europe & Central Asia,30.79
TZA,Tanzania,Sub-Saharan Africa,39.52
THA,Thailand,East Asia & Pacific,11.04
TMP,Timor-Leste,East Asia & Pacific,35.76
TGO,Togo,Sub-Saharan Africa,36.08
TON,Tonga,East Asia & Pacific,25.41
TTO,Trinidad and Tobago,Latin America & Caribbean,14.59
TUN,Tunisia,Middle East & North Africa,19.8
TUR,Turkey,Europe & Central Asia,16.84
TKM,Turkmenistan,Europe & Central Asia,21.32
UGA,Uganda,Sub-Saharan Africa,43.47
